"","County","Category.Name","Bottles Sold","Avg Price Per Bottle","Sales in Dollars","Volume Sold by Gallons"
"63","Dubuque","CANADIAN WHISKIES",57217,13.137699504443,814164.77,16927.61
"64","Dubuque","IMPORTED VODKA",28790,21.3162077521171,616928.75,6672.31
"65","Dubuque","PUERTO RICO & VIRGIN ISLANDS RUM",20739,11.1259760750346,234103.05,5873.27
"66","Dubuque","SPICED RUM",52954,14.7974583900098,845778.99,14094.75
"67","Dubuque","STRAIGHT BOURBON WHISKIES",24586,15.4888987619383,440998.75,6321.1
"68","Dubuque","TEQUILA",21027,17.1501316769531,372108.35,4640.53
"69","Dubuque","VODKA 80 PROOF",131716,7.38065656170998,1080728.55,35275.23
"70","Dubuque","WHISKEY LIQUEUR",23833,15.9195524459589,368193.4,5495.88
"71","Johnson","AMERICAN COCKTAILS",21346,10.9917692861703,209019.12,7877.32
"72","Johnson","BLENDED WHISKIES",55059,12.6458697380821,494729.08,13320.49
"73","Johnson","CANADIAN WHISKIES",80117,13.0228686113564,1181060.07,21766.33
"74","Johnson","IMPORTED VODKA",67845,19.3779120882766,1387289.96,18685.09
"75","Johnson","PUERTO RICO & VIRGIN ISLANDS RUM",45814,12.4763029747202,470575.23,12202.83
"76","Johnson","SPICED RUM",68626,14.8751762167906,1016694.56,17653.05
"77","Johnson","STRAIGHT BOURBON WHISKIES",75243,19.0575682112399,1515820.07,16948.64
"78","Johnson","TEQUILA",66914,16.1174619595491,1109442.94,14840.41
"79","Johnson","VODKA 80 PROOF",241192,8.79193206529656,2129016.34,61803.22
"80","Johnson","WHISKEY LIQUEUR",45392,14.0603775607761,651196.64,10073.56
"81","Lee","AMERICAN COCKTAILS",2814,10.9068676780967,30837.65,1134.07
"82","Lee","BLENDED WHISKIES",20959,9.48262621664105,185347.84,5249.16
"83","Lee","CANADIAN WHISKIES",26422,15.1761465805794,446623.81,6498.41
"84","Lee","IMPORTED VODKA",9816,22.3517817796681,224443.38,2492.41
"85","Lee","PUERTO RICO & VIRGIN ISLANDS RUM",9479,11.9238594854146,105670.48,2749.14
"86","Lee","SPICED RUM",23424,14.0692863571237,335242.7,5685.43
"87","Lee","STRAIGHT BOURBON WHISKIES",14405,16.8777387404102,234600.08,3273.09
"88","Lee","TEQUILA",11380,17.8642880350554,204428.23,2465.92
"89","Lee","VODKA 80 PROOF",52550,7.10733086984285,403408.01,13952.6
"90","Lee","WHISKEY LIQUEUR",14141,14.4876218939667,217521.6,3495.25
"91","Linn","AMERICAN COCKTAILS",36476,10.7525460219183,398769.47,15217.03
"92","Linn","BLENDED WHISKIES",77529,10.5347329160185,643888.64,18091.74
"93","Linn","CANADIAN WHISKIES",196155,12.1121377416352,2566520.71,50944.16
"94","Linn","IMPORTED VODKA",83030,20.0985904235917,1673588.75,22541.49
"95","Linn","PUERTO RICO & VIRGIN ISLANDS RUM",66512,9.52240965298219,739309.83,18596.96
"96","Linn","SPICED RUM",132884,14.2814110344166,1925281.56,33597.09
"97","Linn","STRAIGHT BOURBON WHISKIES",84073,15.8255784616939,1421393.93,18301.42
"98","Linn","TEQUILA",75047,15.5772808222907,1371230.99,16157.46
"99","Linn","VODKA 80 PROOF",400147,7.47112809919391,3135642.26,98087.75
"100","Linn","WHISKEY LIQUEUR",79569,15.6332821943539,1166897.45,18016.8
"101","Marshall","AMERICAN COCKTAILS",4715,9.33160208156162,46677.14,1876.22
"102","Marshall","BLENDED WHISKIES",7514,8.8056133835721,77516.97,2262.68
"103","Marshall","CANADIAN WHISKIES",32706,13.7928398456722,516569.4,9225.99
"104","Marshall","IMPORTED VODKA",7263,18.5868925414988,140739.83,1935.59
"105","Marshall","PUERTO RICO & VIRGIN ISLANDS RUM",7784,12.180540112131,91201.32,2256.85
"106","Marshall","SPICED RUM",14532,13.2372549090686,209153.1,3620.74
"107","Marshall","STRAIGHT BOURBON WHISKIES",9132,14.5032242008355,160062.01,2461.08
"108","Marshall","TEQUILA",8790,17.8146332748663,175774.02,1797.46
"109","Marshall","VODKA 80 PROOF",41510,7.30091666001426,344960.55,10973.82
"110","Marshall","WHISKEY LIQUEUR",14898,14.7025448387013,187030.37,3017.9
"111","Muscatine","AMERICAN COCKTAILS",4753,10.9772983978796,51296.26,2015.54
"112","Muscatine","BLENDED WHISKIES",10475,10.5332449881259,102812.49,2804.63
"113","Muscatine","CANADIAN WHISKIES",20828,11.7523681275135,266199.99,5428.49
"114","Muscatine","IMPORTED VODKA",5893,17.9420551501307,120075.05,1470.08
"115","Muscatine","PUERTO RICO & VIRGIN ISLANDS RUM",9036,10.6978345736655,113679.91,2772.91
"116","Muscatine","SPICED RUM",17686,13.2772497540196,264888.91,4495.19
"117","Muscatine","STRAIGHT BOURBON WHISKIES",12102,14.6879980923393,200387.27,2979.86
"118","Muscatine","TEQUILA",9378,15.4507382388218,153376.99,1960.21
"119","Muscatine","VODKA 80 PROOF",46340,8.03265507566549,416995.46,13400.91
"120","Muscatine","WHISKEY LIQUEUR",19062,14.6374958637784,268751.59,4104.94
"121","Polk","AMERICAN COCKTAILS",86433,11.1449359792751,938289.33,35463.57
"122","Polk","BLENDED WHISKIES",129185,9.62725130688961,1103519.08,30008.64
"123","Polk","CANADIAN WHISKIES",422599,13.0963247190683,5995267.52,100493.66
"124","Polk","IMPORTED VODKA",218774,18.7323779081721,4362345.75,52875.39
"125","Polk","PUERTO RICO & VIRGIN ISLANDS RUM",157236,11.2584996203799,1720013.75,43097.98
"126","Polk","SPICED RUM",265537,14.6550588335169,3995138.15,65962.21
"127","Polk","STRAIGHT BOURBON WHISKIES",209772,16.3855485319613,3757244.64,49293.27
"128","Polk","TEQUILA",260018,17.2947934563753,4433270.34,57101.05
"129","Polk","VODKA 80 PROOF",962072,9.03987908707088,8068821.15,229608.83
"130","Polk","WHISKEY LIQUEUR",262113,14.1363512549778,3778197.42,61641.01
"131","Pottawattamie","AMERICAN COCKTAILS",14255,9.31753083889761,157861.19,6067.87
"132","Pottawattamie","BLENDED WHISKIES",41851,7.8510724834043,344247.36,9703.93
"133","Pottawattamie","CANADIAN WHISKIES",62176,12.6447978365769,990618.9,16134.28
"134","Pottawattamie","IMPORTED VODKA",24048,18.4950264730447,519041.09,6593.16
"135","Pottawattamie","PUERTO RICO & VIRGIN ISLANDS RUM",28678,9.67289029422249,325667.62,8102.99
"136","Pottawattamie","SPICED RUM",57221,12.3962252922811,782881.84,13183.22
"137","Pottawattamie","STRAIGHT BOURBON WHISKIES",37594,13.5514031552012,621434.88,8921.97
"138","Pottawattamie","TEQUILA",33006,16.3645665413012,629530.85,7330.81
"139","Pottawattamie","VODKA 80 PROOF",155763,6.83432439940613,1062596.72,33678.87
"140","Pottawattamie","WHISKEY LIQUEUR",55890,14.2523859596615,789753.92,12532.42
"141","Scott","AMERICAN COCKTAILS",27569,10.4472740391991,283371.23,10625.93
"142","Scott","BLENDED WHISKIES",99701,9.32724041897078,815015.72,21412.83
"143","Scott","CANADIAN WHISKIES",120102,12.9428297580815,1721266.06,26553.79
"144","Scott","IMPORTED VODKA",71632,20.1500997865567,1393149.57,16446.13
"145","Scott","PUERTO RICO & VIRGIN ISLANDS RUM",54190,10.7605522604696,590346.97,14256
"146","Scott","SPICED RUM",90023,12.9220437012244,1283528.89,21915.33
"147","Scott","STRAIGHT BOURBON WHISKIES",53311,16.6728610078809,1008107.63,12587.98
"148","Scott","TEQUILA",95896,16.4231741522868,1562632.73,19071.75
"149","Scott","VODKA 80 PROOF",326911,8.16402317203865,2297434.08,69088.29
"150","Scott","WHISKEY LIQUEUR",70770,12.712243079704,948974.55,14503.41
"151","Story","AMERICAN COCKTAILS",13009,10.5737123709722,140131.25,5268.48
"152","Story","BLENDED WHISKIES",21723,10.1647765436815,211296.13,5703.39
